population,city,country,latitude,longitude,original_name,the_geom,cartodb_id,created_at,updated_at
133927,Santa Rita,Brazil,-7.123667,-34.981159,,0101000020E610000089963C9E967D41C0B360E28FA27E1CC0,3060,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133718,Narathiwat,Thailand,6.425461,101.825314,,0101000020E610000095BBCFF1D1745940D2E4620CACB31940,3061,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133700,Khost,Afghanistan,33.333056,69.916944,خوست,0101000020E6100000DC10E335AF7A514048DE3994A1AA4040,3062,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133600,Langsa,Indonesia,4.498003,97.981084,,0101000020E61000003FA88B14CA7E5840533D997FF4FD1140,3063,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133579,West Valley City,USA,40.6885,-112.0118,,0101000020E6100000F085C954C1005CC0E3A59BC420584440,3064,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133547,Ise,Japan,34.491575,136.661463,伊勢市,0101000020E6100000731074B42A156140FE43FAEDEB3E4140,3065,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133533,Abiko,Japan,35.876295,140.011591,我孫子市,0101000020E6100000B2BD16F45E806140FC523F6F2AF04140,3066,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133528,Sabará,Brazil,-19.885371,-43.79992,,0101000020E61000004AB54FC763E645C0AAD381ACA7E233C0,3067,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133448,Amiens,France,49.894067,2.295753,,0101000020E6100000158DB5BFB35D024067B796C970F24840,3068,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133441,Sirajganj,Bangladesh,24.4566253,89.7081281,সিরাজগঞ্জ,0101000020E61000003BB885F8516D5640B4064A65E5743840,3069,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133433,Cape Coast,Ghana,"5,111","-1,245",,0101000020E6100000EC51B81E85EBF3BF8B6CE7FBA9711440,3070,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133411,Gemena,Democratic Republic of the Congo,3.24,19.78,,0101000020E610000048E17A14AEC73340EC51B81E85EB0940,3071,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133358,Columbia,USA,34.0298,-80.8966,,0101000020E6100000FE65F7E4613954C0DDB5847CD0034140,3072,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133315,Musoma,Tanzania,-1.51,33.81,,0101000020E610000048E17A14AEE74040295C8FC2F528F8BF,3073,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133301,Tobruk,Libya,32.076111,23.961389,,0101000020E6100000F1BBE9961DF63740D4EE5701BE094040,3074,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133281,FORT-DE-FRANCE,Martinique,14.616065,-61.05878,,0101000020E610000056D4601A86874EC0A56B26DF6C3B2D40,3075,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133220,Yopal,Colombia,5.26642,-72.39962,,0101000020E6100000F6B4C35F931952C054008C67D0101540,3076,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133188,Hasaviurt,Russia,43.25,46.583333,,0101000020E6100000BBD6DEA7AA4A47400000000000A04540,3077,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133179,Kadamrasul,Bangladesh,22.4476924,91.7348022,মাধবী,0101000020E6100000D981CEFF06EF5640F2AA18F89B723640,3078,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133041,Lalitpur,India,24.68786,78.412021,,0101000020E6100000F910548D5E9A5340003ACC9717B03840,3079,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133009,Madhabdi,Bangladesh,23.8524505,90.6722151,মাধবদী,0101000020E610000027987B9205AB564077F52A323ADA3740,3080,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
133000,Shagamu,Nigeria,"6,839","3,640",,0101000020E61000001F85EB51B81E0D404260E5D0225B1B40,3081,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
132975,M'Sila,Algeria,35.701944,4.547222,المسيلة,0101000020E61000005A9BC6F65A301240CCCF0D4DD9D94140,3082,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
132896,Bettiah,India,26.801389,84.502778,,0101000020E61000007EC9C6832D205540C85F5AD427CD3A40,3083,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
132804,Santiago,Philippines,16.714983,121.553715,,0101000020E61000007F130A1170635E402B323A2009B73040,3084,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
132626,Lausanne,Switzerland,46.519962,6.633597,,0101000020E6100000F65FE7A6CD881A40D594641D8E424740,3085,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
132609,Chiguallante,Chile,-36.934419,-73.022016,,0101000020E610000047FFCBB5684152C069E1B20A9B7742C0,3086,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
132480,Nobeoka,Japan,32.589755,131.672272,延岡市,0101000020E610000087C091408375604084D382177D4B4040,3087,2015-02-22 00:07:23.248349+00,2015-02-22 00:07:23.248349+00
